Date, Price,offtake pre-tax,tax,extra tax,offtake,injection,,
1/07/2018 0:00,45.28,0.071,0.10458,0.0132,0.18878,0.03,,
1/07/2018 1:00,39,0.064,0.10458,0.0132,0.18178,0.024,,
1/07/2018 2:00,31.2,0.055,0.10458,0.0132,0.17278,0.018,,
1/07/2018 3:00,22.12,0.045,0.10458,0.0132,0.16278,0.01,,
1/07/2018 4:00,23.42,0.047,0.10458,0.0132,0.16478,0.012,,
1/07/2018 5:00,21.44,0.044,0.10458,0.0132,0.16178,0.01,,
1/07/2018 6:00,34.3,0.059,0.10458,0.0132,0.17678,0.021,,
1/07/2018 7:00,37.4,0.062,0.10458,0.0132,0.17978,0.023,,
1/07/2018 8:00,32.4,0.057,0.10458,0.0132,0.17478,0.019,,
1/07/2018 9:00,37.7,0.062,0.10458,0.0132,0.17978,0.023,,
1/07/2018 10:00,32.4,0.057,0.10458,0.0132,0.17478,0.019,,
1/07/2018 11:00,35.65,0.06,0.10458,0.0132,0.17778,0.022,,
1/07/2018 12:00,39,0.064,0.10458,0.0132,0.18178,0.024,,
1/07/2018 13:00,35.1,0.06,0.10458,0.0132,0.17778,0.021,,
1/07/2018 14:00,39,0.064,0.10458,0.0132,0.18178,0.024,,
1/07/2018 15:00,30,0.054,0.10458,0.0132,0.17178,0.017,,
1/07/2018 16:00,37.4,0.062,0.10458,0.0132,0.17978,0.023,,
1/07/2018 17:00,44.77,0.07,0.10458,0.0132,0.18778,0.029,,
1/07/2018 18:00,45.29,0.071,0.10458,0.0132,0.18878,0.03,,
1/07/2018 19:00,48.37,0.074,0.10458,0.0132,0.19178,0.032,,
1/07/2018 20:00,50.52,0.077,0.10458,0.0132,0.19478,0.034,,
1/07/2018 21:00,48.6,0.075,0.10458,0.0132,0.19278,0.032,,
1/07/2018 22:00,57.8,0.085,0.10458,0.0132,0.20278,0.04,,
1/07/2018 23:00,49.96,0.076,0.10458,0.0132,0.19378,0.033,,
2/07/2018 0:00,48.7,0.075,0.10458,0.0132,0.19278,0.032,,
2/07/2018 1:00,41.16,0.066,0.10458,0.0132,0.18378,0.026,,
2/07/2018 2:00,38.4,0.063,0.10458,0.0132,0.18078,0.024,,
2/07/2018 3:00,38.03,0.063,0.10458,0.0132,0.18078,0.024,,
2/07/2018 4:00,38.08,0.063,0.10458,0.0132,0.18078,0.024,,
2/07/2018 5:00,39.07,0.064,0.10458,0.0132,0.18178,0.024,,
2/07/2018 6:00,49.49,0.076,0.10458,0.0132,0.19378,0.033,,
2/07/2018 7:00,55.95,0.083,0.10458,0.0132,0.20078,0.038,,
2/07/2018 8:00,54.92,0.082,0.10458,0.0132,0.19978,0.038,,
2/07/2018 9:00,60.22,0.088,0.10458,0.0132,0.20578,0.042,,
2/07/2018 10:00,63.68,0.091,0.10458,0.0132,0.20878,0.045,,
2/07/2018 11:00,65.58,0.094,0.10458,0.0132,0.21178,0.046,,
2/07/2018 12:00,64.6,0.093,0.10458,0.0132,0.21078,0.046,,
2/07/2018 13:00,61.75,0.089,0.10458,0.0132,0.20678,0.043,,
2/07/2018 14:00,60.82,0.088,0.10458,0.0132,0.20578,0.042,,
2/07/2018 15:00,63.07,0.091,0.10458,0.0132,0.20878,0.044,,
2/07/2018 16:00,64.7,0.093,0.10458,0.0132,0.21078,0.046,,
2/07/2018 17:00,63.5,0.091,0.10458,0.0132,0.20878,0.045,,
2/07/2018 18:00,60.71,0.088,0.10458,0.0132,0.20578,0.042,,
2/07/2018 19:00,61.87,0.089,0.10458,0.0132,0.20678,0.043,,
2/07/2018 20:00,59.02,0.086,0.10458,0.0132,0.20378,0.041,,
2/07/2018 21:00,54.96,0.082,0.10458,0.0132,0.19978,0.038,,
2/07/2018 22:00,54.5,0.081,0.10458,0.0132,0.19878,0.037,,
2/07/2018 23:00,50.55,0.077,0.10458,0.0132,0.19478,0.034,,
3/07/2018 0:00,42.23,0.068,0.10458,0.0132,0.18578,0.027,,
3/07/2018 1:00,41.44,0.067,0.10458,0.0132,0.18478,0.026,,
3/07/2018 2:00,41.71,0.067,0.10458,0.0132,0.18478,0.027,,
3/07/2018 3:00,42.38,0.068,0.10458,0.0132,0.18578,0.027,,
3/07/2018 4:00,43.02,0.068,0.10458,0.0132,0.18578,0.028,,
3/07/2018 5:00,44.2,0.07,0.10458,0.0132,0.18778,0.029,,
3/07/2018 6:00,50.24,0.076,0.10458,0.0132,0.19378,0.034,,
3/07/2018 7:00,58,0.085,0.10458,0.0132,0.20278,0.04,,
3/07/2018 8:00,61.89,0.089,0.10458,0.0132,0.20678,0.043,,
3/07/2018 9:00,62.56,0.09,0.10458,0.0132,0.20778,0.044,,
3/07/2018 10:00,62.52,0.09,0.10458,0.0132,0.20778,0.044,,
3/07/2018 11:00,62.57,0.09,0.10458,0.0132,0.20778,0.044,,
3/07/2018 12:00,62.8,0.091,0.10458,0.0132,0.20878,0.044,,
3/07/2018 13:00,62.26,0.09,0.10458,0.0132,0.20778,0.044,,
3/07/2018 14:00,64.5,0.092,0.10458,0.0132,0.20978,0.045,,
3/07/2018 15:00,65.31,0.093,0.10458,0.0132,0.21078,0.046,,
3/07/2018 16:00,67.4,0.096,0.10458,0.0132,0.21378,0.048,,
3/07/2018 17:00,76.37,0.106,0.10458,0.0132,0.22378,0.055,,
3/07/2018 18:00,76.59,0.106,0.10458,0.0132,0.22378,0.055,,
3/07/2018 19:00,65.27,0.093,0.10458,0.0132,0.21078,0.046,,
3/07/2018 20:00,63.03,0.091,0.10458,0.0132,0.20878,0.044,,
3/07/2018 21:00,62.59,0.09,0.10458,0.0132,0.20778,0.044,,
3/07/2018 22:00,63.95,0.092,0.10458,0.0132,0.20978,0.045,,
3/07/2018 23:00,60.35,0.088,0.10458,0.0132,0.20578,0.042,,
4/07/2018 0:00,48,0.074,0.10458,0.0132,0.19178,0.032,,
4/07/2018 1:00,46.23,0.072,0.10458,0.0132,0.18978,0.03,,
4/07/2018 2:00,45.8,0.072,0.10458,0.0132,0.18978,0.03,,
4/07/2018 3:00,44.99,0.071,0.10458,0.0132,0.18878,0.029,,
4/07/2018 4:00,45.44,0.071,0.10458,0.0132,0.18878,0.03,,
4/07/2018 5:00,46.26,0.072,0.10458,0.0132,0.18978,0.03,,
4/07/2018 6:00,52.55,0.079,0.10458,0.0132,0.19678,0.036,,
4/07/2018 7:00,59.98,0.087,0.10458,0.0132,0.20478,0.042,,
4/07/2018 8:00,62.64,0.09,0.10458,0.0132,0.20778,0.044,,
4/07/2018 9:00,70,0.099,0.10458,0.0132,0.21678,0.05,,
4/07/2018 10:00,73.23,0.102,0.10458,0.0132,0.21978,0.053,,
4/07/2018 11:00,70,0.099,0.10458,0.0132,0.21678,0.05,,
4/07/2018 12:00,71.36,0.1,0.10458,0.0132,0.21778,0.051,,
4/07/2018 13:00,71.22,0.1,0.10458,0.0132,0.21778,0.051,,
4/07/2018 14:00,71.31,0.1,0.10458,0.0132,0.21778,0.051,,
4/07/2018 15:00,68.48,0.097,0.10458,0.0132,0.21478,0.049,,
4/07/2018 16:00,69.9,0.098,0.10458,0.0132,0.21578,0.05,,
4/07/2018 17:00,81,0.111,0.10458,0.0132,0.22878,0.059,,
4/07/2018 18:00,64.08,0.092,0.10458,0.0132,0.20978,0.045,,
4/07/2018 19:00,60.38,0.088,0.10458,0.0132,0.20578,0.042,,
4/07/2018 20:00,59.93,0.087,0.10458,0.0132,0.20478,0.042,,
4/07/2018 21:00,58.58,0.086,0.10458,0.0132,0.20378,0.041,,
4/07/2018 22:00,61.61,0.089,0.10458,0.0132,0.20678,0.043,,
4/07/2018 23:00,58.05,0.085,0.10458,0.0132,0.20278,0.04,,
5/07/2018 0:00,53.57,0.08,0.10458,0.0132,0.19778,0.036,,
5/07/2018 1:00,45.48,0.071,0.10458,0.0132,0.18878,0.03,,
5/07/2018 2:00,44.31,0.07,0.10458,0.0132,0.18778,0.029,,
5/07/2018 3:00,42.99,0.068,0.10458,0.0132,0.18578,0.028,,
5/07/2018 4:00,43.11,0.069,0.10458,0.0132,0.18678,0.028,,
5/07/2018 5:00,44.65,0.07,0.10458,0.0132,0.18778,0.029,,
5/07/2018 6:00,51.89,0.078,0.10458,0.0132,0.19578,0.035,,
5/07/2018 7:00,57.71,0.085,0.10458,0.0132,0.20278,0.04,,
5/07/2018 8:00,61.21,0.089,0.10458,0.0132,0.20678,0.043,,
5/07/2018 9:00,61.16,0.089,0.10458,0.0132,0.20678,0.043,,
5/07/2018 10:00,60.99,0.088,0.10458,0.0132,0.20578,0.043,,
5/07/2018 11:00,60.74,0.088,0.10458,0.0132,0.20578,0.042,,
5/07/2018 12:00,60,0.087,0.10458,0.0132,0.20478,0.042,,
5/07/2018 13:00,61.23,0.089,0.10458,0.0132,0.20678,0.043,,
5/07/2018 14:00,58.38,0.086,0.10458,0.0132,0.20378,0.04,,
5/07/2018 15:00,55.32,0.082,0.10458,0.0132,0.19978,0.038,,
5/07/2018 16:00,55.08,0.082,0.10458,0.0132,0.19978,0.038,,
5/07/2018 17:00,73.68,0.103,0.10458,0.0132,0.22078,0.053,,
5/07/2018 18:00,68.64,0.097,0.10458,0.0132,0.21478,0.049,,
5/07/2018 19:00,67.6,0.096,0.10458,0.0132,0.21378,0.048,,
5/07/2018 20:00,65,0.093,0.10458,0.0132,0.21078,0.046,,
5/07/2018 21:00,53.79,0.08,0.10458,0.0132,0.19778,0.037,,
5/07/2018 22:00,63.89,0.092,0.10458,0.0132,0.20978,0.045,,
5/07/2018 23:00,61.9,0.09,0.10458,0.0132,0.20778,0.043,,
6/07/2018 0:00,48.39,0.074,0.10458,0.0132,0.19178,0.032,,
6/07/2018 1:00,42.98,0.068,0.10458,0.0132,0.18578,0.028,,
6/07/2018 2:00,42.06,0.067,0.10458,0.0132,0.18478,0.027,,
6/07/2018 3:00,41.83,0.067,0.10458,0.0132,0.18478,0.027,,
6/07/2018 4:00,42,0.067,0.10458,0.0132,0.18478,0.027,,
6/07/2018 5:00,41.92,0.067,0.10458,0.0132,0.18478,0.027,,
6/07/2018 6:00,50.1,0.076,0.10458,0.0132,0.19378,0.034,,
6/07/2018 7:00,55.01,0.082,0.10458,0.0132,0.19978,0.038,,
6/07/2018 8:00,56.6,0.084,0.10458,0.0132,0.20178,0.039,,
6/07/2018 9:00,64.82,0.093,0.10458,0.0132,0.21078,0.046,,
6/07/2018 10:00,64.5,0.092,0.10458,0.0132,0.20978,0.045,,
6/07/2018 11:00,61.58,0.089,0.10458,0.0132,0.20678,0.043,,
